Experiment 4.0 - Memtier SET:
    Num_Clients  Worker_Threads             Type  Request_Throughput  Response_Time
0             6               8              SET         2835.225045       2.112560
1             6               8  SET_Interactive         2840.160239       2.116246
2             6              16              SET         2836.178928       2.111681
3             6              16  SET_Interactive         2841.524173       2.115655
4             6              32              SET         2798.475210       2.140471
5             6              32  SET_Interactive         2803.271584       2.144139
6             6              64              SET         2789.831431       5.773623
7             6              64  SET_Interactive         2611.881453       2.152044
8            12               8              SET         4962.188751       2.416118
9            12               8  SET_Interactive         4966.726011       2.418314
10           12              16              SET         4907.814300       2.445992
11           12              16  SET_Interactive         4906.292195       2.445119
12           12              32              SET         4911.182037       2.441716
13           12              32  SET_Interactive         4914.728932       2.443454
14           12              64              SET         4832.889540       2.482061
15           12              64  SET_Interactive         4834.948506       2.483102
16           24               8              SET         5950.848153       4.028512
17           24               8  SET_Interactive         5957.779036       4.033213
18           24              16              SET         6148.099404       3.901007
19           24              16  SET_Interactive         6152.407428       3.903753
20           24              32              SET         6147.649320       3.900294
21           24              32  SET_Interactive         6153.463920       3.903981
22           24              64              SET         6060.452637       3.956225
23           24              64  SET_Interactive         6066.398996       3.960108
24           48               8              SET         6675.163945       7.189089
25           48               8  SET_Interactive         6676.782973       7.190869
26           48              16              SET         8183.703438       5.861272
27           48              16  SET_Interactive         8189.424104       5.865372
28           48              32              SET         8373.759448       5.728742
29           48              32  SET_Interactive         8378.828017       5.732228
30           48              64              SET         8164.329013       5.877849
31           48              64  SET_Interactive         8166.361431       5.879342
32           96               8              SET         6659.716894      14.414801
33           96               8  SET_Interactive         6660.007207      14.415376
34           96              16              SET         8611.216453      11.148727
35           96              16  SET_Interactive         8611.164720      11.148549
36           96              32              SET        10006.049398       9.590985
37           96              32  SET_Interactive        10009.459100       9.594275
38           96              64              SET         9931.470293       9.665206
39           96              64  SET_Interactive         9933.593269       9.667250
40          192               8              SET         6685.407833      28.715750
41          192               8  SET_Interactive         6686.283720      28.719451
42          192              16              SET         8621.840139      22.264404
43          192              16  SET_Interactive         8623.643611      22.269082
44          192              32              SET        10323.504975      18.596184
45          192              32  SET_Interactive        10324.821717      18.598570
46          192              64              SET        11247.083211      17.071768
47          192              64  SET_Interactive        11246.898775      17.071506
48          288               8              SET         6716.222704      42.871160
49          288               8  SET_Interactive         6717.875433      42.881664
50          288              16              SET         8677.337937      33.193076
51          288              16  SET_Interactive         8676.675369      33.190592
52          288              32              SET        10361.463647      27.795322
53          288              32  SET_Interactive        10361.500193      27.795431
54          288              64              SET        11463.200578      25.130735
55          288              64  SET_Interactive        11461.145462      25.126065
====================

Experiment 4.0 - Middleware SET:
    Num_Clients  Worker_Threads             Type  Request_Throughput  Response_Time  Queue_Waiting_Time  Memcached_Communication  Queue_Size
0             6               8              SET         2840.730462       1.311622            0.061948                 1.104489    0.087561
1             6               8  SET_Interactive         2525.514602       2.288055                 NaN                      NaN         NaN
2             6              16              SET         2841.705343       1.318059            0.059642                 1.110314    0.084346
3             6              16  SET_Interactive         2521.672167       2.291886                 NaN                      NaN         NaN
4             6              32              SET         2804.174323       1.344931            0.063834                 1.129290    0.089163
5             6              32  SET_Interactive         2486.975080       2.313538                 NaN                      NaN         NaN
6             6              64              SET         2795.487095       1.382148            0.067766                 1.159569    0.094482
7             6              64  SET_Interactive         2476.395315       2.380199                 NaN                      NaN         NaN
8            12               8              SET         4967.221406       1.622221            0.083669                 1.390832    0.206793
9            12               8  SET_Interactive         4514.370048       2.586601                 NaN                      NaN         NaN
10           12              16              SET         4912.862146       1.636151            0.084004                 1.401811    0.205823
11           12              16  SET_Interactive         4461.033102       2.639753                 NaN                      NaN         NaN
12           12              32              SET         4916.398599       1.637818            0.084709                 1.399164    0.207933
13           12              32  SET_Interactive         4454.074154       2.634366                 NaN                      NaN         NaN
14           12              64              SET         4838.178153       1.686324            0.088207                 1.436955    0.213661
15           12              64  SET_Interactive         4375.984536       2.717602                 NaN                      NaN         NaN
16           24               8              SET         5955.950526       3.128588            0.711224                 2.250637    2.116543
17           24               8  SET_Interactive         5638.246558       4.149353                 NaN                      NaN         NaN
18           24              16              SET         6153.056870       2.995515            0.156357                 2.671234    0.477739
19           24              16  SET_Interactive         5807.612415       3.985338                 NaN                      NaN         NaN
20           24              32              SET         6152.464517       3.012918            0.152039                 2.688555    0.464738
21           24              32  SET_Interactive         5800.916500       4.035694                 NaN                      NaN         NaN
22           24              64              SET         6065.541566       3.059869            0.154008                 2.728432    0.465302
23           24              64  SET_Interactive         5714.422965       4.070963                 NaN                      NaN         NaN
24           48               8              SET         6680.069987       6.252869            3.814291                 2.278521   12.722693
25           48               8  SET_Interactive         6503.856157       7.284621                 NaN                      NaN         NaN
26           48              16              SET         8187.966706       4.812765            1.172840                 3.452603    4.798420
27           48              16  SET_Interactive         7869.499714       5.852416                 NaN                      NaN         NaN
28           48              32              SET         8378.602583       4.651478            0.298100                 4.163892    1.235104
29           48              32  SET_Interactive         8037.185719       5.735774                 NaN                      NaN         NaN
30           48              64              SET         8169.172411       4.770010            0.319695                 4.248553    1.292581
31           48              64  SET_Interactive         7824.518391       5.898403                 NaN                      NaN         NaN
32           96               8              SET         6664.627378      13.452622           11.007335                 2.281882   36.637082
33           96               8  SET_Interactive         6577.731875      14.429374                 NaN                      NaN         NaN
34           96              16              SET         8616.113757      10.029947            6.271948                 3.568995   26.996044
35           96              16  SET_Interactive         8448.527323      11.161469                 NaN                      NaN         NaN
36           96              32              SET        10010.383461       8.088814            2.034386                 5.837091   10.180103
37           96              32  SET_Interactive         9742.323499       9.237511                 NaN                      NaN         NaN
38           96              64              SET         9935.805119       7.868569            0.715942                 6.907427    3.535306
39           96              64  SET_Interactive         9626.283140       9.129993                 NaN                      NaN         NaN
40          192               8              SET         6690.235656      27.756898           25.322121                 2.271851   84.637176
41          192               8  SET_Interactive         6646.159542      28.789497                 NaN                      NaN         NaN
42          192              16              SET         8626.251513      21.132628           17.379912                 3.565569   74.920149
43          192              16  SET_Interactive         8545.885781      22.202848                 NaN                      NaN         NaN
44          192              32              SET        10327.793898      16.927910           10.688063                 6.014738   55.180734
45          192              32  SET_Interactive        10187.256297      18.189621                 NaN                      NaN         NaN
46          192              64              SET        11251.223717      14.195898            3.510422                10.396224   19.758083
47          192              64  SET_Interactive        11022.432190      15.727345                 NaN                      NaN         NaN
48          288               8              SET         6721.228583      41.899316           39.476320                 2.261348  132.571354
49          288               8  SET_Interactive         6690.958095      42.929363                 NaN                      NaN         NaN
50          288              16              SET         8681.936151      32.036528           28.305975                 3.540955  122.778799
51          288              16  SET_Interactive         8624.601151      33.152648                 NaN                      NaN         NaN
52          288              32              SET        10366.390341      26.128272           19.907101                 6.001000  103.151688
53          288              32  SET_Interactive        10274.901650      27.333997                 NaN                      NaN         NaN
54          288              64              SET        11469.240371      21.869982           10.734230                10.838690   61.538530
55          288              64  SET_Interactive        11307.787325      23.371316                 NaN                      NaN         NaN
====================
